id,first_name,last_name,gender,Job Title,Seniority,Wage per year in euro,days sick,age,training hours,start date,upper management
1,Alethea,Avraam,Female,Marketing Assistant,IV,49414,6,64,164,06/08/2009,false
2,Allin,Harkes,Male,Financial Advisor,II,189236,2,25,40,12/08/2015,false
3,Maximilian,Ruit,Male,Staff Scientist,III,203157,8,57,156,03/13/2020,false
4,Pansie,Arnaudin,Female,Structural Analysis Engineer,IV,480941,0,55,72,03/13/2002,true
5,Archer,Meneo,Male,Software Test Engineer IV,II,56311,9,27,12,09/16/2012,true
6,Renaud,Oliver-Paull,Male,VP Accounting,IV,448054,7,48,71,11/03/2008,true
7,Aleen,Soeiro,Female,VP Marketing,Jr,89863,11,37,26,06/21/1999,false
8,Konstanze,Brave,Genderfluid,Account Coordinator,III,182486,7,70,167,06/17/2018,true
9,Barbara-anne,Scrooby,Female,Registered Nurse,III,41925,3,60,79,05/16/2002,true
10,Rodrique,Tanner,Male,Librarian,III,134488,8,67,162,11/07/2005,false
11,Maggy,Dunphy,Female,Assistant Professor,Jr,478070,9,54,31,07/23/2019,false
12,Horacio,Happer,Male,Community Outreach Specialist,Sr,252145,4,20,200,12/08/2011,false
13,Esra,Gwyn,Male,Clinical Specialist,III,216274,0,64,21,12/29/2000,false
14,Stan,Brucker,Male,Programmer Analyst I,IV,203060,3,33,103,06/21/2010,true
15,Dermot,Yerlett,Male,Automation Specialist IV,III,200115,10,56,83,04/29/2005,true
16,Ora,Uc,Bigender,Account Coordinator,Jr,315160,11,74,16,03/22/2000,false
17,Myrwyn,Silvester,Male,Assistant Media Planner,IV,108696,5,50,159,08/08/2003,false
18,Gill,Ranyard,Female,Chemical Engineer,IV,212275,3,18,96,01/20/2012,false
19,Moshe,Boyland,Male,Social Worker,III,128120,8,73,194,06/07/2002,true
20,Terese,Plackstone,Female,Cost Accountant,III,467050,5,18,185,06/10/2016,false
21,Manolo,Dewing,Male,Compensation Analyst,Sr,184920,3,44,110,12/29/2019,false
22,Dennie,Luxmoore,Female,Senior Sales Associate,IV,144611,9,55,97,09/01/2016,true
23,Vernor,Willas,Male,Health Coach III,Sr,480338,1,51,97,03/14/2020,true
24,Woodman,Bangle,Male,Senior Developer,II,115558,4,65,79,03/29/2013,false
25,Justin,Livingston,Genderqueer,Database Administrator II,II,378490,4,63,168,03/01/2017,true
26,Victor,De Mitri,Male,Assistant Manager,II,300708,4,52,167,09/08/2002,false
27,Duffy,Dawtrey,Male,Senior Sales Associate,III,451869,11,51,155,02/21/2006,true
28,Melania,Pinkie,Female,Clinical Specialist,II,273431,1,30,155,09/27/2015,false
29,Ranee,Garrelts,Female,Clinical Specialist,Jr,303111,6,51,145,03/25/2016,false
30,Rutherford,Rudge,Male,Structural Engineer,IV,396041,11,35,51,09/08/2000,false
31,Vernice,O'Doran,Female,Librarian,III,400375,5,60,133,09/17/2013,true
32,Patten,Wride,Male,Senior Cost Accountant,IV,393728,10,40,140,03/18/2001,false
33,Merle,Passey,Male,Geologist IV,Sr,291391,2,33,1,12/02/2013,true
34,Guy,Jewett,Male,Senior Developer,II,116590,3,21,111,06/08/2017,true
35,Eliza,Turk,Female,VP Marketing,Sr,149931,6,56,33,03/17/2007,false
36,Morgana,Yatman,Female,Biostatistician I,Sr,217989,6,65,180,04/15/2020,false
37,Arlen,Stearley,Bigender,Human Resources Assistant IV,Sr,473781,5,24,190,05/05/2019,true
38,Joelynn,Limerick,Female,Operator,Jr,224639,5,56,171,03/06/2003,true
39,Iorgo,Williamson,Male,Media Manager I,Jr,356299,2,35,56,12/22/2006,false
